name,id
"Count of Household: With Social Security Income in The Past 12 Months, Married Couple Family Household",Count_Household_WithSocialSecurityIncomeInThePast12Months_MarriedCoupleFamilyHousehold
"Count of Household: With Social Security Income in The Past 12 Months, Single Mother Family Household",Count_Household_WithSocialSecurityIncomeInThePast12Months_SingleMotherFamilyHousehold
Count of Household: Without Food Stamps in The Past 12 Months,Count_Household_WithoutFoodStampsInThePast12Months
"Count of Household: Without Food Stamps in The Past 12 Months, Above Poverty Level in The Past 12 Months",Count_Household_WithoutFoodStampsInThePast12Months_AbovePovertyLevelInThePast12Months
"Count of Household: Without Food Stamps in The Past 12 Months, American Indian or Alaska Native Alone",Count_Household_WithoutFoodStampsInThePast12Months_AmericanIndianOrAlaskaNativeAlone
"Count of Household: Without Food Stamps in The Past 12 Months, Asian Alone",Count_Household_WithoutFoodStampsInThePast12Months_AsianAlone
"Count of Household: Without Food Stamps in The Past 12 Months, Below Poverty Level in The Past 12 Months",Count_Household_WithoutFoodStampsInThePast12Months_BelowPovertyLevelInThePast12Months
"Count of Household: Without Food Stamps in The Past 12 Months, Black or African American Alone",Count_Household_WithoutFoodStampsInThePast12Months_BlackOrAfricanAmericanAlone
"Count of Household: Without Food Stamps in The Past 12 Months, Family Household",Count_Household_WithoutFoodStampsInThePast12Months_FamilyHousehold
"Count of Household: Without Food Stamps in The Past 12 Months, Hispanic or Latino",Count_Household_WithoutFoodStampsInThePast12Months_HispanicOrLatino
"Count of Household: Without Food Stamps in The Past 12 Months, Married Couple Family Household",Count_Household_WithoutFoodStampsInThePast12Months_MarriedCoupleFamilyHousehold
"Count of Household: Without Food Stamps in The Past 12 Months, Native Hawaiian or Other Pacific Islander Alone",Count_Household_WithoutFoodStampsInThePast12Months_NativeHawaiianOrOtherPacificIslanderAlone
"Count of Household: Without Food Stamps in The Past 12 Months, No Disability",Count_Household_WithoutFoodStampsInThePast12Months_NoDisability
"Count of Household: Without Food Stamps in The Past 12 Months, Nonfamily Household",Count_Household_WithoutFoodStampsInThePast12Months_NonfamilyHousehold
"Count of Household: Without Food Stamps in The Past 12 Months, One Race",Count_Household_WithoutFoodStampsInThePast12Months_OneRace
"Count of Household: Without Food Stamps in The Past 12 Months, Other Family Household",Count_Household_WithoutFoodStampsInThePast12Months_OtherFamilyHousehold
"Count of Household: Without Food Stamps in The Past 12 Months, Single Father Family Household",Count_Household_WithoutFoodStampsInThePast12Months_SingleFatherFamilyHousehold
"Count of Household: Without Food Stamps in The Past 12 Months, Single Mother Family Household",Count_Household_WithoutFoodStampsInThePast12Months_SingleMotherFamilyHousehold
"Count of Household: Without Food Stamps in The Past 12 Months, Some Other Race Alone",Count_Household_WithoutFoodStampsInThePast12Months_SomeOtherRaceAlone
"Count of Household: Without Food Stamps in The Past 12 Months, Two or More Races",Count_Household_WithoutFoodStampsInThePast12Months_TwoOrMoreRaces
"Count of Household: Without Food Stamps in The Past 12 Months, White Alone",Count_Household_WithoutFoodStampsInThePast12Months_WhiteAlone
"Count of Household: Without Food Stamps in The Past 12 Months, White Alone Not Hispanic or Latino",Count_Household_WithoutFoodStampsInThePast12Months_WhiteAloneNotHispanicOrLatino
"Count of Household: Without Food Stamps in The Past 12 Months, With Children Under 18",Count_Household_WithoutFoodStampsInThePast12Months_WithChildrenUnder18
"Count of Household: Without Food Stamps in The Past 12 Months, With Disability",Count_Household_WithoutFoodStampsInThePast12Months_WithDisability
"Count of Household: Without Food Stamps in The Past 12 Months, With People Over 60",Count_Household_WithoutFoodStampsInThePast12Months_WithPeopleOver60
"Count of Household: Without Food Stamps in The Past 12 Months, Without Children Under 18",Count_Household_WithoutFoodStampsInThePast12Months_WithoutChildrenUnder18
"Count of Household: Without Food Stamps in The Past 12 Months, Without People Over 60",Count_Household_WithoutFoodStampsInThePast12Months_WithoutPeopleOver60
Count of Housing Unit,Count_HousingUnit
Number of infants given BCG vaccine,Count_Infant_VaccineAdministered_BCG
Number of infants given DPT Vaccine Dose 1,Count_Infant_VaccineAdministered_DPTDose1
Number of infants given DPT Vaccine Dose 2,Count_Infant_VaccineAdministered_DPTDose2
Number of infants given DPT Vaccine Dose 3,Count_Infant_VaccineAdministered_DPTDose3
Number of infants given OPV 0 Vaccine (Birth Dose),Count_Infant_VaccineAdministered_OPV
Adverse events following immunization (Deaths),Count_Infant_VaccineSideEffect_Adverse_Deaths
Adverse events following immunization (Others),Count_Infant_VaccineSideEffect_Adverse_Others
Number of Inpatients,Count_Inpatient
Percent of Inpatient Deaths to Total Inpatients,Count_Inpatient_Deceased_AsFractionOf_Count_Inpatient
Number of Outpatients,Count_Outpatient
"Number of Outpatients treated by Ayurveda, Yoga & naturopathy, Unani, Siddha or Homeopathy (AYUSH)",Count_Outpatient_AYUSH
Population,Count_Person
Population: Above Poverty Level in The Past 12 Months,Count_Person_AbovePovertyLevelInThePast12Months
"Population: Above Poverty Level in The Past 12 Months, American Indian or Alaska Native Alone",Count_Person_AbovePovertyLevelInThePast12Months_AmericanIndianOrAlaskaNativeAlone
"Population: Above Poverty Level in The Past 12 Months, Asian Alone",Count_Person_AbovePovertyLevelInThePast12Months_AsianAlone
"Population: Above Poverty Level in The Past 12 Months, Black or African American Alone",Count_Person_AbovePovertyLevelInThePast12Months_BlackOrAfricanAmericanAlone
"Population: Above Poverty Level in The Past 12 Months, Hispanic or Latino",Count_Person_AbovePovertyLevelInThePast12Months_HispanicOrLatino
"Population: Above Poverty Level in The Past 12 Months, Native Hawaiian or Other Pacific Islander Alone",Count_Person_AbovePovertyLevelInThePast12Months_NativeHawaiianOrOtherPacificIslanderAlone
"Population: Above Poverty Level in The Past 12 Months, Some Other Race Alone",Count_Person_AbovePovertyLevelInThePast12Months_SomeOtherRaceAlone
"Population: Above Poverty Level in The Past 12 Months, Two or More Races",Count_Person_AbovePovertyLevelInThePast12Months_TwoOrMoreRaces
"Population: Above Poverty Level in The Past 12 Months, White Alone",Count_Person_AbovePovertyLevelInThePast12Months_WhiteAlone
"Population: Above Poverty Level in The Past 12 Months, White Alone Not Hispanic or Latino",Count_Person_AbovePovertyLevelInThePast12Months_WhiteAloneNotHispanicOrLatino
Population: Ambulatory Difficulty,Count_Person_AmbulatoryDifficulty
Population: American Indian or Alaska Native Alone,Count_Person_AmericanIndianAndAlaskaNativeAlone
Population: American Indian And Alaska Native Alone or In Combination With One or More Other Races,Count_Person_AmericanIndianAndAlaskaNativeAloneOrInCombinationWithOneOrMoreOtherRaces
Population: American Indian or Alaska Native Alone,Count_Person_AmericanIndianOrAlaskaNativeAlone
"Population: American Indian or Alaska Native Alone, Adult Correctional Facilities",Count_Person_AmericanIndianOrAlaskaNativeAlone_ResidesInAdultCorrectionalFacilities
"Population: American Indian or Alaska Native Alone, College or University Student Housing",Count_Person_AmericanIndianOrAlaskaNativeAlone_ResidesInCollegeOrUniversityStudentHousing
"Population: American Indian or Alaska Native Alone, Group Quarters",Count_Person_AmericanIndianOrAlaskaNativeAlone_ResidesInGroupQuarters
"Population: American Indian or Alaska Native Alone, Institutionalized Group Quarters",Count_Person_AmericanIndianOrAlaskaNativeAlone_ResidesInInstitutionalizedGroupQuarters
"Population: American Indian or Alaska Native Alone, Juvenile Facilities",Count_Person_AmericanIndianOrAlaskaNativeAlone_ResidesInJuvenileFacilities
"Population: American Indian or Alaska Native Alone, Military Quarters or Military Ships",Count_Person_AmericanIndianOrAlaskaNativeAlone_ResidesInMilitaryQuartersOrMilitaryShips
"Population: American Indian or Alaska Native Alone, Noninstitutionalized Group Quarters",Count_Person_AmericanIndianOrAlaskaNativeAlone_ResidesInNoninstitutionalizedGroupQuarters
"Population: American Indian or Alaska Native Alone, Nursing Facilities",Count_Person_AmericanIndianOrAlaskaNativeAlone_ResidesInNursingFacilities
Population: Asian Alone,Count_Person_AsianAlone
Population: Asian Alone or In Combination With One or More Other Races,Count_Person_AsianAloneOrInCombinationWithOneOrMoreOtherRaces
"Population: Asian Alone, Adult Correctional Facilities",Count_Person_AsianAlone_ResidesInAdultCorrectionalFacilities
"Population: Asian Alone, College or University Student Housing",Count_Person_AsianAlone_ResidesInCollegeOrUniversityStudentHousing
"Population: Asian Alone, Group Quarters",Count_Person_AsianAlone_ResidesInGroupQuarters
